term,aliases,type,source,code
abdomen,abdominal region,AnatomicalSite,manual,
epigastrium,epigastric region,AnatomicalSite,manual,
pancreas,pancreatic region,AnatomicalSite,manual,
pancreatic tail,tail of pancreas,AnatomicalSite,manual,
stomach,gastric region,AnatomicalSite,manual,
liver,hepatic region,AnatomicalSite,manual,
spleen,splenic region,AnatomicalSite,manual,
left atrium,left atrial region,AnatomicalSite,manual,
lung,pulmonary region,AnatomicalSite,manual,
esophagus,oesophagus,AnatomicalSite,manual,
colon,large intestine,AnatomicalSite,manual,
appendix,vermiform appendix,AnatomicalSite,manual,
uterus,uterine region,AnatomicalSite,manual,
skull,cranial region,AnatomicalSite,manual,
temporal lobe,,AnatomicalSite,manual,
