term,aliases,type,source,code
computed tomography,CT|computed tomography scan|CT scan,Exam,manual,
magnetic resonance imaging,MRI|magnetic resonance,Exam,manual,
endoscopic ultrasound,EUS|endoscopic ultrasonography,Exam,manual,
echocardiography,echo|echocardiogram,Exam,manual,
electrocardiogram,ECG|EKG,Exam,manual,
ultrasound,sonography|ultrasonography,Exam,manual,
endoscopy,endoscopic examination,Exam,manual,
gastroscopy,upper endoscopy|upper gastrointestinal endoscopy,Exam,manual,
colonoscopy,,Exam,manual,
lipase,serum lipase|lipase level,Exam,manual,
C-reactive protein,CRP|C reactive protein,Exam,manual,
complete blood count,CBC|full blood count|FBC,Exam,manual,
blood glucose,glucose level|serum glucose,Exam,manual,
hemoglobin,haemoglobin|Hb,Exam,manual,
